Longitude,Latitude,Datetime
12.2461,55.6393,2002-07-02 15:19:01.266
12.2828,55.6459,2002-08-01 04:16:45.795
12.293,55.6314,2002-08-01 04:23:35.150
12.2516,55.6368,2002-08-01 04:27:00.400
12.2519,55.6314,2002-08-01 04:29:00.775
12.2659,55.6329,2002-08-01 04:30:15.640
12.2599,55.6315,2002-08-01 04:33:51.298
12.2509,55.6522,2002-08-01 04:43:16.707
12.2671,55.6304,2002-08-01 04:46:50.470
12.2637,55.6629,2002-08-01 04:47:05.143
12.2773,55.6441,2002-08-01 04:47:43.888
12.2879,55.6353,2002-08-01 04:48:03.838
12.2596,55.6566,2002-08-01 04:48:25.542
12.2507,55.6557,2002-08-01 04:49:25.222
12.2762,55.6558,2002-08-01 04:53:20.222
12.2463,55.6632,2002-08-01 04:53:55.412
12.248,55.6378,2002-08-01 04:58:23.401
12.247,55.6613,2002-08-01 05:00:23.980
12.2477,55.6604,2002-08-01 05:02:27.553
12.255,55.6443,2002-08-01 05:04:17.600
12.2701,55.6598,2002-08-01 05:20:45.721
12.2671,55.6333,2003-05-24 19:26:31.399
12.2617,55.6599,2003-06-08 17:50:54.211
12.2873,55.6304,2003-06-08 18:27:35.412
12.2578,55.6419,2003-06-23 18:59:32.138
12.2914,55.6438,2003-06-23 19:06:54.543
12.2621,55.6508,2003-06-27 16:28:30.330
12.2703,55.6314,2003-06-27 16:29:57.894
12.2922,55.6605,2003-06-27 16:33:30.794
12.2859,55.6302,2003-07-02 17:13:56.858
12.2834,55.6449,2003-07-02 17:15:07.554
12.2889,55.6445,2003-08-14 11:55:29.436
12.2465,55.6338,2004-07-01 13:03:50.272
12.2716,55.6587,2004-07-01 13:05:06.648
12.2451,55.6477,2004-07-01 13:10:53.902
12.2651,55.6595,2004-07-01 13:13:15.584
12.2855,55.6542,2004-07-01 13:15:49.580
12.287,55.6432,2004-07-01 13:16:44.622
12.288,55.6645,2004-08-20 13:43:54.623
12.2596,55.6422,2004-09-22 14:49:17.794
12.273,55.646,2005-06-21 16:09:43.565
12.2723,55.6322,2006-05-22 23:06:59.102
12.2526,55.6426,2006-07-23 18:29:56.625
12.2759,55.6504,2006-08-26 15:43:28.972
12.2672,55.6373,2006-08-27 12:31:21.455
12.2572,55.6412,2006-10-01 20:31:12.862
12.2881,55.6305,2007-07-10 15:02:35.914
12.2505,55.6418,2007-07-10 15:05:16.803
12.2765,55.6302,2007-07-10 15:06:22.319
12.2623,55.6341,2007-07-10 15:07:16.454
12.252,55.6329,2007-08-10 02:17:52.135
12.2462,55.6506,2008-06-27 09:39:33.329
12.2776,55.6393,2009-05-20 01:01:44.236
12.2513,55.6382,2010-05-28 16:40:10.714
12.2912,55.653,2010-07-11 16:43:43.584
12.2765,55.6624,2010-07-11 16:48:09.386
12.2549,55.6588,2010-07-12 21:55:14.621
12.245,55.6424,2011-05-22 14:18:21.221
12.2819,55.6519,2011-07-02 17:55:55.809
12.2695,55.6598,2011-07-02 18:26:49.219
12.269,55.6631,2011-07-02 18:28:45.930
12.2871,55.6633,2011-07-02 18:33:08.953
12.2815,55.6481,2011-07-02 18:33:09.303
12.2506,55.6498,2011-07-02 18:36:07.208
12.2849,55.6361,2011-07-02 18:36:19.547
12.2849,55.6389,2011-07-02 18:36:31.612
12.2707,55.6392,2011-07-02 18:36:49.560
12.2597,55.6549,2011-07-02 18:37:31.816
12.2887,55.6314,2011-07-02 18:37:36.255
12.2669,55.6477,2011-07-02 18:41:29.665
12.2528,55.6435,2011-07-02 18:44:43.539
12.2932,55.642,2011-07-02 18:52:55.380
12.2728,55.6603,2011-07-02 19:07:58.617
12.2667,55.6406,2011-07-02 19:18:28.963
12.2918,55.6551,2011-07-02 19:39:49.853
12.2725,55.6589,2011-07-02 19:45:01.551
12.2648,55.6352,2011-07-02 19:47:29.912
12.2553,55.6529,2011-08-08 14:01:49.340
12.262,55.6486,2011-08-27 04:14:30.715
12.2705,55.657,2011-08-27 04:28:06.996
12.269,55.6541,2011-08-27 04:28:07.628
12.2478,55.6544,2012-07-30 13:20:50.986
12.2595,55.6444,2013-06-19 15:00:05.834
12.2948,55.6498,2014-06-26 10:20:04.905
12.2862,55.6516,2014-06-26 10:23:37.801
12.2475,55.6549,2014-06-26 10:38:57.455
12.2509,55.6546,2014-06-27 11:32:03.173
12.2531,55.6451,2014-07-07 07:36:46.984
12.2758,55.6559,2014-08-10 22:31:27.896
12.2687,55.6392,2016-06-23 19:07:30.940
12.2468,55.6339,2016-06-23 19:16:27.793
12.2762,55.6607,2016-06-23 19:22:38.385
12.2542,55.639,2016-06-23 20:24:31.201
12.2474,55.6505,2016-06-23 20:35:15.986
12.2774,55.6551,2016-06-23 20:48:34.377
12.2773,55.6581,2016-08-28 20:25:34.538
12.2628,55.6521,2017-09-17 04:38:07.311
12.2521,55.6471,2018-04-26 12:38:58.985
12.2683,55.6378,2018-07-28 19:58:22.613
12.2583,55.6301,2018-08-14 01:54:43.763
